environment,twin_gap,regime,seed,baseline,acc_task_reward,acc_energy_cost,acc_switch_cost,acc_failure_cost,terminal_cost,total_cost,net_reward,violation_steps,failures,failure_events,mean_abs_action,frac_zero_action,action_changes,physical_transitions,observed_transitions,observation_interval
cartpole,no_gap,static,0,kh_dual_control,-109.38795640963734,0.012,0.02,2000.0,8.634477663414614,2118.054434073052,-2118.054434073052,20.0,20.0,1.0,0.4,0.6,2.0,30,30,1
cartpole,no_gap,static,0,arcari_dual_smpc,-0.5148441079295197,0.005,0.060000000000000005,0.0,0.008341055232357453,0.5881851631618771,-0.5881851631618771,0.0,0.0,0.0,0.16666666666666666,0.8333333333333334,6.0,30,30,1
cartpole,no_gap,static,0,tv_gp_lcb,-36.11700098026456,0.023000000000000007,0.49,800.0,6.943610593629511,843.5736115738941,-843.5736115738941,8.0,8.0,1.0,0.7666666666666667,0.23333333333333334,22.0,30,30,1
cartpole,no_gap,static,1,kh_dual_control,-108.29019668297455,0.013000000000000001,0.060000000000000005,2000.0,8.542403900416703,2116.905600583391,-2116.905600583391,20.0,20.0,1.0,0.43333333333333335,0.5666666666666667,3.0,30,30,1
cartpole,no_gap,static,1,arcari_dual_smpc,-0.5132883672770802,0.011000000000000003,0.10999999999999999,0.0,0.019160482284271765,0.6534488495613521,-0.6534488495613521,0.0,0.0,0.0,0.36666666666666664,0.6333333333333333,11.0,30,30,1
cartpole,no_gap,static,1,tv_gp_lcb,-34.47602158004558,0.022000000000000006,0.49,700.0,7.390016418787167,742.3780379988327,-742.3780379988327,7.0,7.0,1.0,0.7333333333333333,0.26666666666666666,22.0,30,30,1
cartpole,no_gap,piecewise,0,kh_dual_control,-107.52287063815702,0.012,0.02,2000.0,8.634477663414614,2116.1893483015715,-2116.1893483015715,20.0,20.0,1.0,0.4,0.6,2.0,30,30,1
cartpole,no_gap,piecewise,0,arcari_dual_smpc,-0.5549285317303648,0.009000000000000001,0.09,0.0,0.0071072948000015,0.6610358265303663,-0.6610358265303663,0.0,0.0,0.0,0.3,0.7,9.0,30,30,1
cartpole,no_gap,piecewise,0,tv_gp_lcb,-33.37402839409473,0.022000000000000006,0.44999999999999996,700.0,6.9883223399591605,740.8343507340538,-740.8343507340538,7.0,7.0,1.0,0.7333333333333333,0.26666666666666666,21.0,30,30,1
cartpole,no_gap,piecewise,1,kh_dual_control,-106.43062731183097,0.012,0.02,2000.0,8.542403900416703,2115.0050312122476,-2115.0050312122476,20.0,20.0,1.0,0.4,0.6,2.0,30,30,1
cartpole,no_gap,piecewise,1,arcari_dual_smpc,-0.46573930387776524,0.004,0.05,0.0,0.06562060580902176,0.585359909686787,-0.585359909686787,0.0,0.0,0.0,0.13333333333333333,0.8666666666666667,5.0,30,30,1
cartpole,no_gap,piecewise,1,tv_gp_lcb,-30.830171166502723,0.022000000000000006,0.44999999999999996,600.0,7.178792622459203,638.480963788962,-638.480963788962,6.0,6.0,1.0,0.7333333333333333,0.26666666666666666,21.0,30,30,1
cartpole,no_gap,drifting,0,kh_dual_control,-110.06346159003955,0.012,0.02,2000.0,8.633675304369179,2118.729136894409,-2118.729136894409,20.0,20.0,1.0,0.4,0.6,2.0,30,30,1
cartpole,no_gap,drifting,0,arcari_dual_smpc,-0.5159738818708945,0.009000000000000001,0.09999999999999999,0.0,0.0066474140120744195,0.631621295882969,-0.631621295882969,0.0,0.0,0.0,0.3,0.7,10.0,30,30,1
cartpole,no_gap,drifting,0,tv_gp_lcb,-34.32783196244583,0.023000000000000007,0.49,800.0,6.602967166673705,841.4437991291195,-841.4437991291195,8.0,8.0,1.0,0.7666666666666667,0.23333333333333334,22.0,30,30,1
cartpole,no_gap,drifting,1,kh_dual_control,-110.14789281789186,0.012,0.02,2000.0,8.663191914463974,2118.8430847323557,-2118.8430847323557,20.0,20.0,1.0,0.4,0.6,2.0,30,30,1
cartpole,no_gap,drifting,1,arcari_dual_smpc,-0.5570732643971363,0.008,0.08999999999999998,0.0,0.010354344483736127,0.6654276088808725,-0.6654276088808725,0.0,0.0,0.0,0.26666666666666666,0.7333333333333333,9.0,30,30,1
cartpole,no_gap,drifting,1,tv_gp_lcb,-35.695132859144074,0.022000000000000006,0.49,700.0,7.672602319790447,743.8797351789345,-743.8797351789345,7.0,7.0,1.0,0.7333333333333333,0.26666666666666666,22.0,30,30,1
cartpole,gap,static,0,kh_dual_control,-91.56059278539287,0.012,0.02,2000.0,7.087620808280024,2098.6802135936728,-2098.6802135936728,20.0,20.0,1.0,0.4,0.6,2.0,30,30,1
cartpole,gap,static,0,arcari_dual_smpc,-0.6941346406423482,0.012,0.12,0.0,0.012332985817124014,0.8384676264594724,-0.8384676264594724,0.0,0.0,0.0,0.4,0.6,12.0,30,30,1
cartpole,gap,static,0,tv_gp_lcb,-26.979643211023085,0.022000000000000006,0.47000000000000003,500.0,6.779243572355522,534.2508867833785,-534.2508867833785,5.0,5.0,1.0,0.7333333333333333,0.26666666666666666,23.0,30,30,1
