environment,twin_gap,regime,baseline,n,mean_net_reward,stderr_net_reward,mean_total_cost,stderr_total_cost,mean_acc_task_reward,stderr_acc_task_reward,mean_acc_energy_cost,stderr_acc_energy_cost,mean_acc_switch_cost,stderr_acc_switch_cost,mean_acc_failure_cost,stderr_acc_failure_cost,mean_terminal_cost,stderr_terminal_cost,mean_mean_abs_action,stderr_mean_abs_action,mean_frac_zero_action,stderr_frac_zero_action,mean_action_changes,stderr_action_changes,mean_failures,mean_violation_steps,mean_failure_events,max_failure_events
cartpole,gap,drifting,arcari_dual_smpc,2,-0.9572153060196307,0.017525972542651203,0.9572153060196307,0.017525972542651203,-0.7850258208369267,0.01957976619430912,0.020000000000000004,0.0,0.14500000000000002,0.0050000000000000044,0.0,0.0,0.007189485182703905,0.0029462063483423426,0.6666666666666666,0.0,0.3333333333333333,0.0,14.5,0.5,0.0,0.0,0.0,0.0
cartpole,gap,drifting,kh_dual_control,2,-2099.024400857861,0.022616436041744237,2099.024400857861,0.022616436041744237,-91.89689395487812,0.012757500533659538,0.0125,0.0005000000000000004,0.04,0.02,2000.0,0.0,7.0750069029836595,0.010641064492007857,0.4166666666666667,0.016666666666666663,0.5833333333333333,0.016666666666666663,2.5,0.5,20.0,20.0,1.0,1.0
cartpole,gap,drifting,tv_gp_lcb,2,-685.8758858272221,153.78693565341777,685.8758858272221,153.78693565341777,-28.976093940506562,3.690761895296827,0.022000000000000006,0.0,0.465,0.0050000000000000044,650.0,150.0,6.412791886715538,0.10117375812101326,0.7333333333333333,0.0,0.26666666666666666,0.0,22.5,0.5,6.5,6.5,1.0,1.0
cartpole,gap,piecewise,arcari_dual_smpc,2,-0.85352257785044,0.024935036889665693,0.85352257785044,0.024935036889665693,-0.6826374420763581,0.029112396244573735,0.017,0.002,0.135,0.005000000000000018,0.0,0.0,0.018885135774081824,0.002822640645091934,0.5666666666666667,0.06666666666666665,0.43333333333333335,0.06666666666666667,13.5,0.5,0.0,0.0,0.0,0.0
cartpole,gap,piecewise,kh_dual_control,2,-2097.0740721919774,0.5415793513266179,2097.0740721919774,0.5415793513266179,-89.99623061762034,0.4998001174041917,0.012,0.0,0.02,0.0,2000.0,0.0,7.045841574357386,0.04177923392263727,0.4,0.0,0.6,0.0,2.0,0.0,20.0,20.0,1.0,1.0
cartpole,gap,piecewise,tv_gp_lcb,2,-536.6155534211236,101.01368190574257,536.6155534211236,101.01368190574257,-28.794023584600332,1.20595899104042,0.023500000000000007,0.0005000000000000004,0.515,0.035000000000000024,500.0,100.0,7.28302983652332,0.15677708529784784,0.7833333333333334,0.016666666666666663,0.21666666666666667,0.016666666666666663,21.5,0.5,5.0,5.0,1.0,1.0
cartpole,gap,static,arcari_dual_smpc,2,-0.8733259663416308,0.034858339882158466,0.8733259663416308,0.034858339882158466,-0.7091182265128839,0.014983585870535665,0.014500000000000002,0.0025000000000000022,0.125,0.0050000000000000044,0.0,0.0,0.02470773982874703,0.012374754011623015,0.48333333333333334,0.0833333333333333,0.5166666666666666,0.0833333333333333,12.5,0.5,0.0,0.0,0.0,0.0
cartpole,gap,static,kh_dual_control,2,-2098.157373495338,0.5228400983344271,2098.157373495338,0.5228400983344271,-91.05903192098116,0.501560864411715,0.0125,0.0005000000000000004,0.04,0.02,2000.0,0.0,7.045841574357386,0.04177923392263727,0.4166666666666667,0.016666666666666663,0.5833333333333333,0.016666666666666663,2.5,0.5,20.0,20.0,1.0,1.0
cartpole,gap,static,tv_gp_lcb,2,-638.3134589671371,104.06257218375856,638.3134589671371,104.06257218375856,-30.69256199031414,3.7129187792910567,0.022000000000000006,0.0,0.46,0.010000000000000009,600.0,100.0,7.138896976822949,0.3596534044674264,0.7333333333333333,0.0,0.26666666666666666,0.0,22.0,1.0,6.0,6.0,1.0,1.0
cartpole,no_gap,drifting,arcari_dual_smpc,2,-0.6485244523819207,0.016903156498951744,0.6485244523819207,0.016903156498951744,-0.5365235731340154,0.020549691263120895,0.0085,0.0005000000000000004,0.09499999999999999,0.0050000000000000044,0.0,0.0,0.008500879247905274,0.0018534652358308536,0.2833333333333333,0.016666666666666663,0.7166666666666666,0.016666666666666663,9.5,0.5,0.0,0.0,0.0,0.0
cartpole,no_gap,drifting,kh_dual_control,2,-2118.786110813382,0.05697391897342641,2118.786110813382,0.05697391897342641,-110.10567720396571,0.04221561392615314,0.012,0.0,0.02,0.0,2000.0,0.0,8.648433609416577,0.014758305047397611,0.4,0.0,0.6,0.0,2.0,0.0,20.0,20.0,1.0,1.0
cartpole,no_gap,drifting,tv_gp_lcb,2,-792.6617671540271,48.78203197509247,792.6617671540271,48.78203197509247,-35.011482410794954,0.6836504483491233,0.022500000000000006,0.0005000000000000004,0.49,0.0,750.0,50.0,7.137784743232076,0.534817576558371,0.75,0.01666666666666672,0.25,0.016666666666666663,22.0,0.0,7.5,7.5,1.0,1.0
cartpole,no_gap,piecewise,arcari_dual_smpc,2,-0.6231978681085766,0.037837958421789664,0.6231978681085766,0.037837958421789664,-0.510333917804065,0.04459461392629979,0.006500000000000001,0.0025000000000000005,0.07,0.019999999999999993,0.0,0.0,0.03636395030451163,0.029256655504510135,0.21666666666666667,0.08333333333333333,0.7833333333333333,0.08333333333333337,7.0,2.0,0.0,0.0,0.0,0.0
cartpole,no_gap,piecewise,kh_dual_control,2,-2115.5971897569098,0.5921585446619702,2115.5971897569098,0.5921585446619702,-106.976748974994,0.5461216631630207,0.012,0.0,0.02,0.0,2000.0,0.0,8.588440781915658,0.04603688149895557,0.4,0.0,0.6,0.0,2.0,0.0,20.0,20.0,1.0,1.0
cartpole,no_gap,piecewise,tv_gp_lcb,2,-689.6576572615079,51.17669347254593,689.6576572615079,51.17669347254593,-32.10209978029873,1.271928613796003,0.022000000000000006,0.0,0.44999999999999996,0.0,650.0,50.0,7.083557481209182,0.09523514125002118,0.7333333333333333,0.0,0.26666666666666666,0.0,21.0,0.0,6.5,6.5,1.0,1.0
cartpole,no_gap,static,arcari_dual_smpc,2,-0.6208170063616145,0.0326318431997375,0.6208170063616145,0.0326318431997375,-0.5140662376033,0.0007778703262197871,0.008000000000000002,0.0030000000000000014,0.08499999999999999,0.024999999999999988,0.0,0.0,0.013750768758314609,0.005409713525957156,0.26666666666666666,0.09999999999999999,0.7333333333333334,0.1,8.5,2.5,0.0,0.0,0.0,0.0
cartpole,no_gap,static,kh_dual_control,2,-2117.4800173282215,0.5744167448306142,2117.4800173282215,0.5744167448306142,-108.83907654630595,0.5488798633313934,0.0125,0.0005000000000000004,0.04,0.02,2000.0,0.0,8.588440781915658,0.04603688149895557,0.4166666666666667,0.016666666666666663,0.5833333333333333,0.016666666666666663,2.5,0.5,20.0,20.0,1.0,1.0
cartpole,no_gap,static,tv_gp_lcb,2,-792.9758247863634,50.59778678753071,792.9758247863634,50.59778678753071,-35.29651128015507,0.820489700109487,0.022500000000000006,0.0005000000000000004,0.49,0.0,750.0,50.0,7.166813506208339,0.22320291257882774,0.75,0.01666666666666672,0.25,0.016666666666666663,22.0,0.0,7.5,7.5,1.0,1.0
