environment,twin_gap,regime,seed,baseline,regime_config_kind,regime_sigma,regime_rho,regime_change_points,regime_variation_label,theta_path_min,theta_path_max,theta_path_range,theta_path_std,theta_path_n_unique,theta_path_n_changes,theta_path_first_change_step,theta_path_last_change_step,theta_path_values,total_cost,net_reward,task_cost,acc_task_reward,energy_cost,acc_energy_cost,switch_cost,nonsmooth_switch_cost,acc_switch_cost,failure_cost,acc_failure_cost,terminal_cost,violation_steps,failures,failure_events,mean_abs_action,frac_zero_action,action_changes,physical_transitions,observed_transitions,observation_interval,oracle_regret
cartpole,no_gap,static,0,kh_dual_control,static,0.005,0.995,200;400,static,1.0,1.0,0.0,0.0,1,0,-1,-1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,2118.054434073052,-2118.054434073052,109.38795640963734,-109.38795640963734,0.012,0.012,0.02,0.0,0.02,2000.0,2000.0,8.634477663414614,20,20,1,0.4,0.6,2,30,30,1,2117.5345103309
cartpole,no_gap,static,0,arcari_dual_smpc,static,0.005,0.995,200;400,static,1.0,1.0,0.0,0.0,1,0,-1,-1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,0.5881851631618771,-0.5881851631618771,0.5148441079295197,-0.5148441079295197,0.005,0.005,0.060000000000000005,0.0,0.060000000000000005,0.0,0.0,0.008341055232357453,0,0,0,0.16666666666666666,0.8333333333333334,6,30,30,1,0.06826142100985311
cartpole,no_gap,static,0,tv_gp_lcb,static,0.005,0.995,200;400,static,1.0,1.0,0.0,0.0,1,0,-1,-1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,843.5736115738941,-843.5736115738941,36.11700098026456,-36.11700098026456,0.023000000000000007,0.023000000000000007,0.49,0.0,0.49,800.0,800.0,6.943610593629511,8,8,1,0.7666666666666667,0.23333333333333334,22,30,30,1,843.0536878317421
cartpole,no_gap,static,0,oracle_trend,static,0.005,0.995,200;400,static,1.0,1.0,0.0,0.0,1,0,-1,-1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,0.519923742152024,-0.519923742152024,0.4514526601627238,-0.4514526601627238,0.002,0.002,0.04,0.0,0.04,0.0,0.0,0.026471081989300246,0,0,0,0.06666666666666667,0.9333333333333333,4,30,30,1,0.0
cartpole,no_gap,static,1,kh_dual_control,static,0.005,0.995,200;400,static,1.0,1.0,0.0,0.0,1,0,-1,-1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,2116.905600583391,-2116.905600583391,108.29019668297455,-108.29019668297455,0.013000000000000001,0.013000000000000001,0.060000000000000005,0.0,0.060000000000000005,2000.0,2000.0,8.542403900416703,20,20,1,0.43333333333333335,0.5666666666666667,3,30,30,1,2116.4465534845194
cartpole,no_gap,static,1,arcari_dual_smpc,static,0.005,0.995,200;400,static,1.0,1.0,0.0,0.0,1,0,-1,-1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,0.6534488495613521,-0.6534488495613521,0.5132883672770802,-0.5132883672770802,0.011000000000000003,0.011000000000000003,0.10999999999999999,0.0,0.10999999999999999,0.0,0.0,0.019160482284271765,0,0,0,0.36666666666666664,0.6333333333333333,11,30,30,1,0.19440175068973148
cartpole,no_gap,static,1,tv_gp_lcb,static,0.005,0.995,200;400,static,1.0,1.0,0.0,0.0,1,0,-1,-1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,742.3780379988327,-742.3780379988327,34.47602158004558,-34.47602158004558,0.022000000000000006,0.022000000000000006,0.49,0.0,0.49,700.0,700.0,7.390016418787167,7,7,1,0.7333333333333333,0.26666666666666666,22,30,30,1,741.9189908999612
cartpole,no_gap,static,1,oracle_trend,static,0.005,0.995,200;400,static,1.0,1.0,0.0,0.0,1,0,-1,-1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,0.4590470988716206,-0.4590470988716206,0.3882376900496022,-0.3882376900496022,0.002,0.002,0.04,0.0,0.04,0.0,0.0,0.02880940882201849,0,0,0,0.06666666666666667,0.9333333333333333,4,30,30,1,0.0
cartpole,no_gap,piecewise,0,kh_dual_control,fixed_jumps,0.005,0.995,10;20,piecewise,0.65,1.25,0.6,0.2460803843372233,3,2,10,20,1;1;1;1;1;1;1;1;1;1;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25,2116.1893483015715,-2116.1893483015715,107.52287063815702,-107.52287063815702,0.012,0.012,0.02,0.0,0.02,2000.0,2000.0,8.634477663414614,20,20,1,0.4,0.6,2,30,30,1,2115.631849678637
cartpole,no_gap,piecewise,0,arcari_dual_smpc,fixed_jumps,0.005,0.995,10;20,piecewise,0.65,1.25,0.6,0.2460803843372233,3,2,10,20,1;1;1;1;1;1;1;1;1;1;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25,0.6610358265303663,-0.6610358265303663,0.5549285317303648,-0.5549285317303648,0.009000000000000001,0.009000000000000001,0.09,0.0,0.09,0.0,0.0,0.0071072948000015,0,0,0,0.3,0.7,9,30,30,1,0.10353720359586516
