environment,twin_gap,regime,baseline,mean_total_cost,stderr_total_cost,mean_net_reward,mean_oracle_regret,mean_task_cost,mean_energy_cost,mean_switch_cost,mean_failure_cost,mean_terminal_cost,mean_violation_steps,mean_failures,mean_failure_events,max_failure_events,mean_abs_action,mean_frac_zero_action,mean_action_changes,mean_theta_path_range,min_theta_path_n_changes,min_theta_path_first_change_step,n
cartpole,gap,drifting,arcari_dual_smpc,0.9572153060196307,0.017525972542651203,-0.9572153060196307,0.0,0.7850258208369267,0.020000000000000004,0.14500000000000002,0.0,0.007189485182703905,0.0,0.0,0.0,0,0.6666666666666666,0.3333333333333333,14.5,0.13196414694963426,29,1,2
cartpole,gap,drifting,kh_dual_control,2099.024400857861,0.022616436041744237,-2099.024400857861,2098.0671855518417,91.89689395487812,0.0125,0.04,2000.0,7.0750069029836595,20.0,20.0,1.0,1,0.4166666666666667,0.5833333333333333,2.5,0.13196414694963426,29,1,2
cartpole,gap,drifting,oracle_trend,0.9572153060196307,0.017525972542651203,-0.9572153060196307,0.0,0.7850258208369267,0.020000000000000004,0.14500000000000002,0.0,0.007189485182703905,0.0,0.0,0.0,0,0.6666666666666666,0.3333333333333333,14.5,0.13196414694963426,29,1,2
cartpole,gap,drifting,tv_gp_lcb,685.8758858272221,153.78693565341777,-685.8758858272221,684.9186705212024,28.976093940506562,0.022000000000000006,0.465,650.0,6.412791886715538,6.5,6.5,1.0,1,0.7333333333333333,0.26666666666666666,22.5,0.13196414694963426,29,1,2
cartpole,gap,piecewise,arcari_dual_smpc,0.85352257785044,0.024935036889665693,-0.85352257785044,-0.0741549001246099,0.6826374420763581,0.017,0.135,0.0,0.018885135774081824,0.0,0.0,0.0,0,0.5666666666666667,0.43333333333333335,13.5,0.6,2,10,2
cartpole,gap,piecewise,kh_dual_control,2097.0740721919774,0.5415793513266179,-2097.0740721919774,2096.146394714003,89.99623061762034,0.012,0.02,2000.0,7.045841574357386,20.0,20.0,1.0,1,0.4,0.6,2.0,0.6,2,10,2
cartpole,gap,piecewise,oracle_trend,0.9276774779750498,0.07751526469406354,-0.9276774779750498,0.0,0.7491582209797543,0.022500000000000006,0.135,0.0,0.021019256995295763,0.0,0.0,0.0,0,0.75,0.25,13.5,0.6,2,10,2
cartpole,gap,piecewise,tv_gp_lcb,536.6155534211236,101.01368190574257,-536.6155534211236,535.6878759431486,28.794023584600332,0.023500000000000007,0.515,500.0,7.28302983652332,5.0,5.0,1.0,1,0.7833333333333334,0.21666666666666667,21.5,0.6,2,10,2
cartpole,gap,static,arcari_dual_smpc,0.8733259663416308,0.034858339882158466,-0.8733259663416308,-0.05920695730598852,0.7091182265128839,0.014500000000000002,0.125,0.0,0.02470773982874703,0.0,0.0,0.0,0,0.48333333333333334,0.5166666666666666,12.5,0.0,0,-1,2
cartpole,gap,static,kh_dual_control,2098.157373495338,0.5228400983344271,-2098.157373495338,2097.224840571691,91.05903192098116,0.0125,0.04,2000.0,7.045841574357386,20.0,20.0,1.0,1,0.4166666666666667,0.5833333333333333,2.5,0.0,0,-1,2
cartpole,gap,static,oracle_trend,0.9325329236476194,0.0277095808419438,-0.9325329236476194,0.0,0.7522415774832933,0.020000000000000004,0.14500000000000002,0.0,0.015291346164326092,0.0,0.0,0.0,0,0.6666666666666666,0.33333333333333337,14.5,0.0,0,-1,2
cartpole,gap,static,tv_gp_lcb,638.3134589671371,104.06257218375856,-638.3134589671371,637.3809260434895,30.69256199031414,0.022000000000000006,0.46,600.0,7.138896976822949,6.0,6.0,1.0,1,0.7333333333333333,0.26666666666666666,22.0,0.0,0,-1,2
cartpole,no_gap,drifting,arcari_dual_smpc,0.6485244523819207,0.016903156498951744,-0.6485244523819207,0.1199855926608544,0.5365235731340154,0.0085,0.09499999999999999,0.0,0.008500879247905274,0.0,0.0,0.0,0,0.2833333333333333,0.7166666666666666,9.5,0.13196414694963426,29,1,2
cartpole,no_gap,drifting,kh_dual_control,2118.786110813382,0.05697391897342641,-2118.786110813382,2118.2575719536608,110.10567720396571,0.012,0.02,2000.0,8.648433609416577,20.0,20.0,1.0,1,0.4,0.6,2.0,0.13196414694963426,29,1,2
cartpole,no_gap,drifting,oracle_trend,0.5285388597210663,0.005991149514583405,-0.5285388597210663,0.0,0.44302691307974884,0.003,0.05500000000000001,0.0,0.027511946641317314,0.0,0.0,0.0,0,0.1,0.9,5.5,0.13196414694963426,29,1,2
cartpole,no_gap,drifting,tv_gp_lcb,792.6617671540271,48.78203197509247,-792.6617671540271,792.133228294306,35.011482410794954,0.022500000000000006,0.49,750.0,7.137784743232076,7.5,7.5,1.0,1,0.75,0.25,22.0,0.13196414694963426,29,1,2
cartpole,no_gap,piecewise,arcari_dual_smpc,0.6231978681085766,0.037837958421789664,-0.6231978681085766,0.05347921472175304,0.510333917804065,0.006500000000000001,0.07,0.0,0.03636395030451163,0.0,0.0,0.0,0,0.21666666666666667,0.7833333333333333,7.0,0.6,2,10,2
cartpole,no_gap,piecewise,kh_dual_control,2115.5971897569098,0.5921585446619702,-2115.5971897569098,2115.0274711035227,106.976748974994,0.012,0.02,2000.0,8.588440781915658,20.0,20.0,1.0,1,0.4,0.6,2.0,0.6,2,10,2
cartpole,no_gap,piecewise,oracle_trend,0.5697186533868236,0.012220030452322448,-0.5697186533868236,0.0,0.47966438826669094,0.004,0.060000000000000005,0.0,0.0260542651201327,0.0,0.0,0.0,0,0.13333333333333333,0.8666666666666667,6.0,0.6,2,10,2
cartpole,no_gap,piecewise,tv_gp_lcb,689.6576572615079,51.17669347254593,-689.6576572615079,689.087938608121,32.10209978029873,0.022000000000000006,0.44999999999999996,650.0,7.083557481209182,6.5,6.5,1.0,1,0.7333333333333333,0.26666666666666666,21.0,0.6,2,10,2
cartpole,no_gap,static,arcari_dual_smpc,0.6208170063616145,0.0326318431997375,-0.6208170063616145,0.1313315858497923,0.5140662376033,0.008000000000000002,0.08499999999999999,0.0,0.013750768758314609,0.0,0.0,0.0,0,0.26666666666666666,0.7333333333333334,8.5,0.0,0,-1,2
cartpole,no_gap,static,kh_dual_control,2117.4800173282215,0.5744167448306142,-2117.4800173282215,2116.9905319077097,108.83907654630595,0.0125,0.04,2000.0,8.588440781915658,20.0,20.0,1.0,1,0.4166666666666667,0.5833333333333333,2.5,0.0,0,-1,2
cartpole,no_gap,static,oracle_trend,0.4894854205118223,0.030438321640201684,-0.4894854205118223,0.0,0.419845175106163,0.002,0.04,0.0,0.027640245405659368,0.0,0.0,0.0,0,0.06666666666666667,0.9333333333333333,4.0,0.0,0,-1,2
cartpole,no_gap,static,tv_gp_lcb,792.9758247863634,50.59778678753071,-792.9758247863634,792.4863393658516,35.29651128015507,0.022500000000000006,0.49,750.0,7.166813506208339,7.5,7.5,1.0,1,0.75,0.25,22.0,0.0,0,-1,2
