environment,twin_gap,regime,seed,baseline,regime_config_kind,regime_sigma,regime_rho,regime_change_points,regime_variation_label,b_path_min,b_path_max,b_path_range,b_path_std,b_path_n_unique,b_path_n_changes,b_path_first_change_step,b_path_last_change_step,b_path_values,total_cost,net_reward,state_cost,task_cost,acc_task_reward,energy_cost,acc_energy_cost,switch_cost,nonsmooth_switch_cost,acc_switch_cost,failure_cost,acc_failure_cost,terminal_cost,mean_abs_action,frac_zero_action,action_changes,physical_transitions,observed_transitions,observation_interval,oracle_regret
scalar,no_gap,static,0,kh_dual_control,static,0.015,0.995,100;200,static,2.0,2.0,0.0,0.0,1,0,-1,-1,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,9.604782528195635,-9.604782528195635,8.835677366452948,8.835677366452948,-8.835677366452948,0.36,0.36,0.0,0.0,0.0,0.0,0.0,0.40910516174268763,0.11999999999999997,0.8,17,50,50,1,2.9971957855219333
scalar,no_gap,static,0,arcari_dual_smpc,static,0.015,0.995,100;200,static,2.0,2.0,0.0,0.0,1,0,-1,-1,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,19.4587601744068,-19.4587601744068,18.689655012664122,18.689655012664122,-18.689655012664122,0.36,0.36,0.0,0.0,0.0,0.0,0.0,0.40910516174268763,0.11999999999999997,0.8,15,50,50,1,12.8511734317331
scalar,no_gap,static,0,tv_gp_lcb,static,0.015,0.995,100;200,static,2.0,2.0,0.0,0.0,1,0,-1,-1,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,12085.89690544236,-12085.89690544236,11707.033721812531,11707.033721812531,-11707.033721812531,31.428000000000004,31.428000000000004,0.0,0.0,0.0,0.0,0.0,347.43518362983014,2.2680000000000002,0.06,38,50,50,1,12079.289318699686
scalar,no_gap,static,0,oracle_trend,static,0.015,0.995,100;200,static,2.0,2.0,0.0,0.0,1,0,-1,-1,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,6.607586742673702,-6.607586742673702,6.041553478803515,6.041553478803515,-6.041553478803515,0.252,0.252,0.0,0.0,0.0,0.0,0.0,0.31403326387018515,0.08399999999999999,0.86,12,50,50,1,0.0
scalar,no_gap,static,1,kh_dual_control,static,0.015,0.995,100;200,static,2.0,2.0,0.0,0.0,1,0,-1,-1,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,11.169054667987686,-11.169054667987686,10.69653673299058,10.69653673299058,-10.69653673299058,0.2879999999999999,0.2879999999999999,0.0,0.0,0.0,0.0,0.0,0.184517934997107,0.09599999999999997,0.84,12,50,50,1,4.502889539114578
scalar,no_gap,static,1,arcari_dual_smpc,static,0.015,0.995,100;200,static,2.0,2.0,0.0,0.0,1,0,-1,-1,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,14.23717891781097,-14.23717891781097,13.764660982813867,13.764660982813867,-13.764660982813867,0.2879999999999999,0.2879999999999999,0.0,0.0,0.0,0.0,0.0,0.184517934997107,0.09599999999999997,0.84,12,50,50,1,7.571013788937862
scalar,no_gap,static,1,tv_gp_lcb,static,0.015,0.995,100;200,static,2.0,2.0,0.0,0.0,1,0,-1,-1,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,13626.51316969208,-13626.51316969208,13287.660650067877,13287.660650067877,-13287.660650067877,30.132000000000005,30.132000000000005,0.0,0.0,0.0,0.0,0.0,308.72051962420244,2.1959999999999997,0.08,40,50,50,1,13619.847004563208
scalar,no_gap,static,1,oracle_trend,static,0.015,0.995,100;200,static,2.0,2.0,0.0,0.0,1,0,-1,-1,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,6.666165128873108,-6.666165128873108,6.193647193876003,6.193647193876003,-6.193647193876003,0.2879999999999999,0.2879999999999999,0.0,0.0,0.0,0.0,0.0,0.18451793499710692,0.09599999999999997,0.84,12,50,50,1,0.0
scalar,no_gap,static,2,kh_dual_control,static,0.015,0.995,100;200,static,2.0,2.0,0.0,0.0,1,0,-1,-1,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,8.887139450335487,-8.887139450335487,8.685491429541177,8.685491429541177,-8.685491429541177,0.17999999999999997,0.17999999999999997,0.0,0.0,0.0,0.0,0.0,0.02164802079430936,0.05999999999999999,0.9,10,50,50,1,3.788957795307324
scalar,no_gap,static,2,arcari_dual_smpc,static,0.015,0.995,100;200,static,2.0,2.0,0.0,0.0,1,0,-1,-1,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,32.807946737638005,-32.807946737638005,32.67829871684369,32.67829871684369,-32.67829871684369,0.10799999999999998,0.10799999999999998,0.0,0.0,0.0,0.0,0.0,0.021648020794309622,0.036,0.94,6,50,50,1,27.70976508260984
