environment,twin_gap,regime,seed,baseline,acc_task_reward,acc_energy_cost,acc_switch_cost,acc_failure_cost,terminal_cost,total_cost,net_reward,mean_abs_action,frac_zero_action,action_changes,physical_transitions,observed_transitions,observation_interval
scalar,no_gap,static,0,kh_dual_control,-8.835677366452948,0.36,0.0,0.0,0.40910516174268763,9.604782528195635,-9.604782528195635,0.11999999999999997,0.8,17.0,50,50,1
scalar,no_gap,static,0,arcari_dual_smpc,-18.689655012664122,0.36,0.0,0.0,0.40910516174268763,19.4587601744068,-19.4587601744068,0.11999999999999997,0.8,15.0,50,50,1
scalar,no_gap,static,0,tv_gp_lcb,-11707.033721812531,31.428000000000004,0.0,0.0,347.43518362983014,12085.89690544236,-12085.89690544236,2.2680000000000002,0.06,38.0,50,50,1
scalar,no_gap,static,1,kh_dual_control,-10.69653673299058,0.2879999999999999,0.0,0.0,0.184517934997107,11.169054667987686,-11.169054667987686,0.09599999999999997,0.84,12.0,50,50,1
scalar,no_gap,static,1,arcari_dual_smpc,-13.764660982813867,0.2879999999999999,0.0,0.0,0.184517934997107,14.23717891781097,-14.23717891781097,0.09599999999999997,0.84,12.0,50,50,1
scalar,no_gap,static,1,tv_gp_lcb,-13287.660650067877,30.132000000000005,0.0,0.0,308.72051962420244,13626.51316969208,-13626.51316969208,2.1959999999999997,0.08,40.0,50,50,1
scalar,no_gap,static,2,kh_dual_control,-8.685491429541177,0.17999999999999997,0.0,0.0,0.02164802079430936,8.887139450335487,-8.887139450335487,0.05999999999999999,0.9,10.0,50,50,1
scalar,no_gap,static,2,arcari_dual_smpc,-32.67829871684369,0.10799999999999998,0.0,0.0,0.021648020794309622,32.807946737638005,-32.807946737638005,0.036,0.94,6.0,50,50,1
scalar,no_gap,static,2,tv_gp_lcb,-5999.848305270788,28.908,0.0,0.0,583.0840158892989,6611.840321160087,-6611.840321160087,2.1719999999999997,0.04,40.0,50,50,1
scalar,no_gap,piecewise,0,kh_dual_control,-10.52451719777498,0.43199999999999994,0.0,0.0,0.0401548332319375,10.99667203100692,-10.99667203100692,0.144,0.76,20.0,50,50,1
scalar,no_gap,piecewise,0,arcari_dual_smpc,-21.391617036073598,0.5039999999999999,0.0,0.0,0.04015483323193786,21.935771869305533,-21.935771869305533,0.16799999999999998,0.72,21.0,50,50,1
