environment,seed,baseline,calibration,planner,t,state,previous_action,action,next_state,calibration_output,true_theta,predicted_reward,realized_reward,task_reward,energy_cost,switching_cost,failure_cost,net_reward,cumulative_task_reward,cumulative_energy_cost,cumulative_switching_cost,cumulative_failure_cost,cumulative_net_reward,planner_queries_step,planner_queries_total,cold_start_transitions,time,theta_mean,theta_var,ess,num_particles,weights_sum,expert_masses,expert_start_times,expert_mass_sum,anchor_start_time,restart_event,recent_change_probability,num_experts,inner_weight_sums,oracle_kind
Toy1,0,ce_brpc,BRPC,CE,0,0.0,0.0,0.5439076836585354,0.558609365149475,0.558609365149475,0.85,nan,-0.07395889208569835,-0.0,0.01479177841713967,0.05916711366855868,0.0,-0.07395889208569835,0.0,0.01479177841713967,0.05916711366855868,0.0,-0.07395889208569835,256,256,4,2.0,0.9383115312788275,0.0251155955332613,29.43850023059728,32.0,0.9999999999999998,,,,,,,,,
Toy1,0,ce_brpc,BRPC,CE,1,0.558609365149475,0.5439076836585354,0.2125591401201338,0.78666528852892,0.78666528852892,0.8681818181818182,nan,-0.33626186369613403,-0.3120444228326995,0.0022590694024305336,0.021958371461004003,0.0,-0.33626186369613403,-0.3120444228326995,0.017050847819570204,0.08112548512956269,0.0,-0.41022075578183237,256,512,4,3.0,0.9480902406018198,0.02348988093094229,27.629682639863926,32.0,0.9999999999999999,,,,,,,,,
Toy1,0,ce_brpc,BRPC,CE,2,0.78666528852892,0.2125591401201338,-0.014824048587888368,0.7174152193601128,0.7174152193601128,0.8863636363636364,nan,-0.6291938866985215,-0.6188422761762891,1.0987620826803755e-05,0.010340622901405604,0.0,-0.6291938866985215,-0.9308866990089886,0.017061835440397008,0.0914661080309683,0.0,-1.0394146424803539,256,768,4,4.0,0.9452750065939153,0.019408076098923355,25.039949205615844,32.0,0.9999999999999998,,,,,,,,,
Toy1,0,ce_brpc,BRPC,CE,3,0.7174152193601128,-0.014824048587888368,0.0521058659207723,0.8032534771539793,0.8032534771539793,0.9045454545454545,nan,-0.5157162707239137,-0.5146845969695187,0.00013575106316767504,0.0008959226912273251,0.0,-0.5157162707239137,-1.4455712959785072,0.017197586503564684,0.09236203072219562,0.0,-1.5551309132042674,256,1024,4,5.0,0.9681428475866429,0.01633197424199237,22.176790488494895,32.0,1.0,,,,,,,,,
Toy1,0,ce_brpc,BRPC,CE,4,0.8032534771539793,0.0521058659207723,-0.06050128716051109,0.7300303539560853,0.7300303539560853,0.9227272727272727,nan,-0.6479352430323766,-0.6452161485599583,0.0001830202874039312,0.0025360741850143182,0.0,-0.6479352430323766,-2.0907874445384653,0.017380606790968613,0.09489810490720994,0.0,-2.203066156236644,256,1280,4,6.0,0.9754265602731398,0.014685472406279418,19.625668725832675,32.0,1.0000000000000002,,,,,,,,,
Toy1,0,ce_brpc,BRPC,CE,5,0.7300303539560853,-0.06050128716051109,0.04224665922858496,0.7898482226404254,0.7898482226404254,0.9409090909090909,nan,-0.5351449848054813,-0.5329443176972471,8.923901079880914e-05,0.0021114280974353114,0.0,-0.5351449848054813,-2.6237317622357126,0.01746984580176742,0.09700953300464525,0.0,-2.7382111410421253,256,1536,4,7.0,0.9804801123661695,0.01181463522792428,17.836754035457883,32.0,0.9999999999999999,,,,,,,,,
Toy1,0,ce_brpc,BRPC,CE,6,0.7898482226404254,0.04224665922858496,-0.014893347057563178,0.8144726752294706,0.8144726752294706,0.9590909090909091,nan,-0.0022519675006059743,-0.0015878808476009133,1.1090589328851289e-05,0.0006529960636762098,0.0,-0.0022519675006059743,-2.6253196430833134,0.017480936391096272,0.09766252906832146,0.0,-2.7404631085427313,256,1792,4,8.0,0.992946798486002,0.010033775480793955,16.217801340151254,32.0,1.0,,,,,,,,,
Toy1,0,ce_brpc,BRPC,CE,7,0.8144726752294706,-0.014893347057563178,-0.065921859331262,0.8046731180716155,0.8046731180716155,0.9772727272727273,nan,-0.004894792241102739,-0.004156725851244798,0.0002172845768845348,0.0005207818129734064,0.0,-0.004894792241102739,-2.6294763689345584,0.017698220967980807,0.09818331088129487,0.0,-2.745357900783834,256,2048,4,9.0,0.9975237797703991,0.008103031030800036,32.0,32.0,1.0,,,,,,,,,
Toy1,0,ce_brpc,BRPC,CE,8,0.8046731180716155,-0.065921859331262,-0.05267892964709403,0.7851533090788215,0.7851533090788215,0.9954545454545455,nan,-0.0031629783584349426,-0.002989149839672805,0.00013875348143817414,3.507503732396345e-05,0.0,-0.0031629783584349426,-2.6324655187742314,0.01783697444941898,0.09821838591861883,0.0,-2.748520879142269,256,2304,4,10.0,1.0069728209055384,0.007430332337072973,31.772379145660143,32.0,1.0,,,,,,,,,
Toy1,0,ce_brpc,BRPC,CE,9,0.7851533090788215,-0.05267892964709403,-0.05090568028992237,0.7936595884388826,0.7936595884388826,1.0136363636363637,nan,-0.0013659534361366876,-0.001235755139191156,0.00012956941428898957,6.288826565419396e-07,0.0,-0.0013659534361366876,-2.6337012739134225,0.017966543863707968,0.09821901480127537,0.0,-2.7498868325784054,256,2560,4,11.0,1.011634509454915,0.006713789934326449,31.00138976067389,32.0,1.0,,,,,,,,,
