environment,seed,baseline,calibration,planner,steps,cold_start_transitions,total_task_reward,total_energy_cost,total_switching_cost,total_failure_cost,total_net_reward,mean_net_reward_per_step,planner_queries_total,mean_planner_queries_per_step,restart_count
Toy1,0,ce_brpc,BRPC,CE,12,4,-2.6434580851988687,0.019116137503223336,0.09970977982448616,0.0,-2.762284002526578,-0.2301903335438815,3072,256.0,0
Toy1,0,ps_brpc,BRPC,PS,12,4,-2.3475574717150542,0.013372222092788667,0.06724888306085937,0.0,-2.428178576868702,-0.2023482147390585,3072,256.0,0
Toy1,0,ce_bbrpc,BOCPD-BRPC,CE,12,4,-2.7228269580877305,0.01817878961735062,0.08528921910592549,0.0,-2.826294966811007,-0.23552458056758394,3072,256.0,0
Toy1,0,ps_bbrpc,BOCPD-BRPC,PS,12,4,-3.1034915591932215,0.024084706895553067,0.13432671848315023,0.0,-3.261902984571925,-0.27182524871432706,3072,256.0,0
Toy1,0,oracle_current,true_current_dynamics,CEM-MPC oracle,12,4,-2.5915842071036796,0.017211936673368386,0.08148098624358567,0.0,-2.690277130020634,-0.22418976083505282,3072,256.0,0
Toy1,0,oracle_future,future_regime_path_appendix_ceiling,CEM-MPC oracle,12,4,-0.45669187269025435,0.01444476797244561,0.06056108722028245,0.0,-0.5316977278829825,-0.044308143990248544,3072,256.0,0
Toy1,1,ce_brpc,BRPC,CE,12,4,-2.8719699219071546,0.020860107458494467,0.088102830138654,0.0,-2.9809328595043043,-0.2484110716253587,3072,256.0,0
Toy1,1,ps_brpc,BRPC,PS,12,4,-2.534519031235744,0.020161046488907916,0.13200160484593856,0.0,-2.686681682570591,-0.2238901402142159,3072,256.0,0
Toy1,1,ce_bbrpc,BOCPD-BRPC,CE,12,4,-2.951851167674347,0.02152018101301834,0.09342377487512046,0.0,-3.0667951235624855,-0.2555662602968738,3072,256.0,0
Toy1,1,ps_bbrpc,BOCPD-BRPC,PS,12,4,-2.8336442833639883,0.02279548166244155,0.13093892105618357,0.0,-2.9873786860826135,-0.24894822384021778,3072,256.0,0
Toy1,1,oracle_current,true_current_dynamics,CEM-MPC oracle,12,4,-2.5547976681615547,0.017977141082586807,0.07701293868080508,0.0,-2.649787747924946,-0.22081564566041215,3072,256.0,0
Toy1,1,oracle_future,future_regime_path_appendix_ceiling,CEM-MPC oracle,12,4,-0.4119078954399546,0.012401155426146136,0.04500806899473422,0.0,-0.46931711986083496,-0.039109759988402916,3072,256.0,0
Toy1,2,ce_brpc,BRPC,CE,12,4,-2.921555344999796,0.02028016214473726,0.09109874863613983,0.0,-3.0329342557806735,-0.25274452131505615,3072,256.0,0
Toy1,2,ps_brpc,BRPC,PS,12,4,-2.9421546524535893,0.020935286114234244,0.07890046297253116,0.0,-3.041990401540355,-0.2534992001283629,3072,256.0,0
Toy1,2,ce_bbrpc,BOCPD-BRPC,CE,12,4,-2.831251528965601,0.02036678703459836,0.09650860845815838,0.0,-2.9481269244583577,-0.24567724370486313,3072,256.0,0
Toy1,2,ps_bbrpc,BOCPD-BRPC,PS,12,4,-3.1779744534622716,0.024351731533804075,0.0912031902176144,0.0,-3.2935293752136894,-0.27446078126780743,3072,256.0,0
Toy1,2,oracle_current,true_current_dynamics,CEM-MPC oracle,12,4,-2.450207923135304,0.01701139600693726,0.07441731779630438,0.0,-2.541636636938546,-0.21180305307821215,3072,256.0,0
Toy1,2,oracle_future,future_regime_path_appendix_ceiling,CEM-MPC oracle,12,4,-0.434974711936567,0.014286209451782862,0.05443164624503056,0.0,-0.5036925676333803,-0.04197438063611503,3072,256.0,0
Toy1,3,ce_brpc,BRPC,CE,12,4,-2.8232333391540285,0.021843227655802537,0.11141548667791332,0.0,-2.9564920534877435,-0.2463743377906453,3072,256.0,0
Toy1,3,ps_brpc,BRPC,PS,12,4,-2.2127294644035156,0.020019231852390983,0.11113173680142006,0.0,-2.343880433057326,-0.19532336942144382,3072,256.0,0
Toy1,3,ce_bbrpc,BOCPD-BRPC,CE,12,4,-2.715238310148221,0.019199731276705493,0.08627102229156394,0.0,-2.82070906371649,-0.23505908864304084,3072,256.0,1
Toy1,3,ps_bbrpc,BOCPD-BRPC,PS,12,4,-3.31973141603031,0.023786333633818425,0.09017830375684721,0.0,-3.4336960534209755,-0.2861413377850813,3072,256.0,0
Toy1,3,oracle_current,true_current_dynamics,CEM-MPC oracle,12,4,-2.796174290157576,0.01993906814115249,0.08781405717220875,0.0,-2.9039274154709376,-0.2419939512892448,3072,256.0,0
Toy1,3,oracle_future,future_regime_path_appendix_ceiling,CEM-MPC oracle,12,4,-0.40069504734902944,0.014121405204700982,0.049534590546955484,0.0,-0.4643510431006859,-0.03869592025839049,3072,256.0,0
Toy1,4,ce_brpc,BRPC,CE,12,4,-2.7931234948089254,0.020030648369948705,0.11934216816434229,0.0,-2.9324963113432165,-0.2443746926119347,3072,256.0,0
Toy1,4,ps_brpc,BRPC,PS,12,4,-2.9445836637529554,0.020449640937994475,0.0903278695067003,0.0,-3.055361174197649,-0.25461343118313745,3072,256.0,0
Toy1,4,ce_bbrpc,BOCPD-BRPC,CE,12,4,-2.7266646217469055,0.019254599438595785,0.10233332864130464,0.0,-2.848252549826805,-0.23735437915223376,3072,256.0,0
Toy1,4,ps_bbrpc,BOCPD-BRPC,PS,12,4,-2.6810946435452605,0.018743673103045,0.12390657047049879,0.0,-2.8237448871188047,-0.23531207392656706,3072,256.0,0
Toy1,4,oracle_current,true_current_dynamics,CEM-MPC oracle,12,4,-2.6751780931997944,0.017538015726415584,0.08462824635507223,0.0,-2.777344355281282,-0.23144536294010684,3072,256.0,0
Toy1,4,oracle_future,future_regime_path_appendix_ceiling,CEM-MPC oracle,12,4,-0.3931470319835507,0.012861136118851315,0.060938831891086336,0.0,-0.4669469999934883,-0.03891224999945736,3072,256.0,0
Toy1,5,ce_brpc,BRPC,CE,12,4,-2.5652421893520083,0.01825162016538218,0.07842905836030484,0.0,-2.661922867877696,-0.22182690565647467,3072,256.0,0
Toy1,5,ps_brpc,BRPC,PS,12,4,-2.479866607085054,0.022495892357639494,0.11881446447262395,0.0,-2.6211769639153175,-0.2184314136596098,3072,256.0,0
Toy1,5,ce_bbrpc,BOCPD-BRPC,CE,12,4,-2.5012986180194603,0.01829873697451955,0.08102334185668857,0.0,-2.6006206968506693,-0.21671839140422244,3072,256.0,0
Toy1,5,ps_bbrpc,BOCPD-BRPC,PS,12,4,-2.8684526222437046,0.020500764882293947,0.08471318218531249,0.0,-2.9736665693113116,-0.2478055474426093,3072,256.0,0
Toy1,5,oracle_current,true_current_dynamics,CEM-MPC oracle,12,4,-2.6772458753372184,0.019901206985753487,0.08579388097365641,0.0,-2.782940963296628,-0.2319117469413857,3072,256.0,0
Toy1,5,oracle_future,future_regime_path_appendix_ceiling,CEM-MPC oracle,12,4,-0.4235548850394465,0.01386514371062417,0.054836758891207205,0.0,-0.4922567876412779,-0.04102139897010649,3072,256.0,0
Toy1,6,ce_brpc,BRPC,CE,12,4,-2.7093311729614147,0.018026931459421653,0.08723268012055091,0.0,-2.814590784541387,-0.23454923204511557,3072,256.0,0
Toy1,6,ps_brpc,BRPC,PS,12,4,-2.9737800482257883,0.0216254338095953,0.13048308703021208,0.0,-3.1258885690655953,-0.2604907140887996,3072,256.0,0
Toy1,6,ce_bbrpc,BOCPD-BRPC,CE,12,4,-2.607543560976172,0.017113914578048464,0.08192936823551208,0.0,-2.706586843789732,-0.22554890364914434,3072,256.0,0
Toy1,6,ps_bbrpc,BOCPD-BRPC,PS,12,4,-3.3910378098852703,0.02950911779503383,0.1505004329719482,0.0,-3.5710473606522526,-0.29758728005435436,3072,256.0,0
Toy1,6,oracle_current,true_current_dynamics,CEM-MPC oracle,12,4,-2.5638743436860065,0.01777746800003508,0.08475678108849566,0.0,-2.666408592774537,-0.22220071606454475,3072,256.0,0
Toy1,6,oracle_future,future_regime_path_appendix_ceiling,CEM-MPC oracle,12,4,-0.3305595750563637,0.010829848537344634,0.04759607929948008,0.0,-0.38898550289318845,-0.03241545857443237,3072,256.0,0
Toy1,7,ce_brpc,BRPC,CE,12,4,-2.7895056377946146,0.020500032853379865,0.0964384616444704,0.0,-2.906444132292464,-0.24220367769103868,3072,256.0,0
Toy1,7,ps_brpc,BRPC,PS,12,4,-2.611804486717722,0.017898561068819503,0.08925858244538358,0.0,-2.718961630231925,-0.22658013585266043,3072,256.0,0
Toy1,7,ce_bbrpc,BOCPD-BRPC,CE,12,4,-2.6493204820011167,0.019005779260816334,0.08561119476283954,0.0,-2.753937456024773,-0.22949478800206444,3072,256.0,0
Toy1,7,ps_bbrpc,BOCPD-BRPC,PS,12,4,-3.136330380142929,0.024933746503555544,0.10569271765175904,0.0,-3.266956844298244,-0.27224640369152037,3072,256.0,0
Toy1,7,oracle_current,true_current_dynamics,CEM-MPC oracle,12,4,-2.705559063342596,0.018663557771258242,0.08057060304347781,0.0,-2.8047932241573323,-0.23373276867977769,3072,256.0,0
Toy1,7,oracle_future,future_regime_path_appendix_ceiling,CEM-MPC oracle,12,4,-0.39993970757057523,0.016005284618691183,0.08664276271909413,0.0,-0.5025877549083605,-0.041882312909030044,3072,256.0,0
Toy1,8,ce_brpc,BRPC,CE,12,4,-2.610813247693637,0.018501551044570675,0.0921338763316998,0.0,-2.721448675069907,-0.22678738958915892,3072,256.0,0
Toy1,8,ps_brpc,BRPC,PS,12,4,-2.9325370772968347,0.028129512734283914,0.1794287554328833,0.0,-3.1400953454640015,-0.2616746121220001,3072,256.0,0
Toy1,8,ce_bbrpc,BOCPD-BRPC,CE,12,4,-2.8751334124333576,0.01998921314414408,0.0987022309452737,0.0,-2.993824856522776,-0.2494854047102313,3072,256.0,1
Toy1,8,ps_bbrpc,BOCPD-BRPC,PS,12,4,-2.7673077822602403,0.020956184516720044,0.1026700025781357,0.0,-2.8909339693550953,-0.2409111641129246,3072,256.0,1
Toy1,8,oracle_current,true_current_dynamics,CEM-MPC oracle,12,4,-2.4947023754816287,0.016481705347530174,0.07854072494291771,0.0,-2.589724805772076,-0.21581040048100633,3072,256.0,0
Toy1,8,oracle_future,future_regime_path_appendix_ceiling,CEM-MPC oracle,12,4,-0.4649218235795295,0.014626330911397093,0.056860070831286025,0.0,-0.5364082253222127,-0.04470068544351772,3072,256.0,0
Toy1,9,ce_brpc,BRPC,CE,12,4,-2.9039805096229916,0.02018853928558194,0.08777963980124752,0.0,-3.011948688709821,-0.25099572405915177,3072,256.0,0
Toy1,9,ps_brpc,BRPC,PS,12,4,-3.1203279456089956,0.02620220123584528,0.13061082281164219,0.0,-3.277140969656482,-0.27309508080470685,3072,256.0,0
Toy1,9,ce_bbrpc,BOCPD-BRPC,CE,12,4,-2.7143173362103776,0.018731102204448423,0.08869840788954637,0.0,-2.821746846304372,-0.23514557052536433,3072,256.0,0
Toy1,9,ps_bbrpc,BOCPD-BRPC,PS,12,4,-2.846674731560269,0.02386322894134194,0.16037484953227202,0.0,-3.030912810033883,-0.2525760675028236,3072,256.0,0
Toy1,9,oracle_current,true_current_dynamics,CEM-MPC oracle,12,4,-2.8543969382632364,0.01832808519030874,0.08635879037124433,0.0,-2.9590838138247895,-0.24659031781873245,3072,256.0,0
Toy1,9,oracle_future,future_regime_path_appendix_ceiling,CEM-MPC oracle,12,4,-0.48859877482664593,0.01481998323026768,0.06584305514186935,0.0,-0.5692618131987829,-0.047438484433231905,3072,256.0,0
Toy2,0,ce_brpc,BRPC,CE,12,4,14.463950758020925,0.022053074877741895,0.004645004231413218,0.0,14.437252678911769,1.2031043899093141,3072,256.0,0
Toy2,0,ps_brpc,BRPC,PS,12,4,14.501838099773508,0.022763708323534238,0.007270922620387372,0.0,14.471803468829588,1.2059836224024656,3072,256.0,0
Toy2,0,ce_bbrpc,BOCPD-BRPC,CE,12,4,14.343719716714704,0.025541375042787067,0.007416367113684889,0.0,14.310761974558233,1.1925634978798527,3072,256.0,0
Toy2,0,ps_bbrpc,BOCPD-BRPC,PS,12,4,13.915806392620544,0.024601062822293934,0.024118172338500634,0.0,13.867087157459753,1.1555905964549795,3072,256.0,0
Toy2,0,oracle_current,true_current_dynamics,CEM-MPC oracle,12,4,16.22451493296445,0.17793859853212474,0.26943771196108257,0.0,15.777138622471242,1.3147615518726035,3072,256.0,0
Toy2,0,oracle_future,future_regime_path_appendix_ceiling,CEM-MPC oracle,12,4,16.4633677668372,0.19993229871322676,0.2361121631691032,0.0,16.02732330495487,1.3356102754129058,3072,256.0,0
Toy2,1,ce_brpc,BRPC,CE,12,4,14.621828475320587,0.023093972985916,0.003938014463983738,0.0,14.594796487870688,1.2162330406558908,3072,256.0,0
Toy2,1,ps_brpc,BRPC,PS,12,4,14.712021090802613,0.024140278270244363,0.0020492454381623388,0.0,14.685831567094207,1.2238192972578505,3072,256.0,0
Toy2,1,ce_bbrpc,BOCPD-BRPC,CE,12,4,14.428263832777045,0.02402038943926094,0.008249095249634929,0.0,14.395994348088148,1.1996661956740124,3072,256.0,0
Toy2,1,ps_bbrpc,BOCPD-BRPC,PS,12,4,14.126440896950085,0.024437777820561616,0.014808540334440491,0.0,14.087194578795081,1.1739328815662569,3072,256.0,1
Toy2,1,oracle_current,true_current_dynamics,CEM-MPC oracle,12,4,16.270890740358446,0.17681707814257375,0.2872205000089521,0.0,15.806853162206924,1.3172377635172436,3072,256.0,0
Toy2,1,oracle_future,future_regime_path_appendix_ceiling,CEM-MPC oracle,12,4,15.927744548493482,0.14179035611698282,0.2531074467385737,0.0,15.532846745637926,1.2944038954698271,3072,256.0,0
Toy2,2,ce_brpc,BRPC,CE,12,4,14.74903310192728,0.02459516198518829,0.0034647464421000787,0.0,14.720973193499992,1.2267477661249993,3072,256.0,0
Toy2,2,ps_brpc,BRPC,PS,12,4,14.432072262965226,0.022147585109215343,0.008558595228960955,0.0,14.401366082627051,1.2001138402189209,3072,256.0,0
Toy2,2,ce_bbrpc,BOCPD-BRPC,CE,12,4,14.799895265143604,0.023586615662152147,0.0020299781028514222,0.0,14.774278671378603,1.2311898892815503,3072,256.0,0
Toy2,2,ps_bbrpc,BOCPD-BRPC,PS,12,4,14.57341015886555,0.023030865830078566,0.007164067777176618,0.0,14.543215225258296,1.211934602104858,3072,256.0,0
Toy2,2,oracle_current,true_current_dynamics,CEM-MPC oracle,12,4,16.58013330614249,0.19920086224515793,0.26613139089544463,0.0,16.114801053001887,1.3429000877501573,3072,256.0,0
Toy2,2,oracle_future,future_regime_path_appendix_ceiling,CEM-MPC oracle,12,4,16.195303510913124,0.19702917415378615,0.24329167030361543,0.0,15.75498266645572,1.3129152222046434,3072,256.0,0
Toy2,3,ce_brpc,BRPC,CE,12,4,14.348322232561689,0.0249487060976443,0.004034610759257107,0.0,14.319338915704787,1.193278242975399,3072,256.0,0
Toy2,3,ps_brpc,BRPC,PS,12,4,14.454084341765807,0.02481828888232359,0.002839909803077301,0.0,14.426426143080405,1.2022021785900339,3072,256.0,0
Toy2,3,ce_bbrpc,BOCPD-BRPC,CE,12,4,14.57782815911963,0.023140374889141686,0.0014736871885318572,0.0,14.553214097041957,1.212767841420163,3072,256.0,0
Toy2,3,ps_bbrpc,BOCPD-BRPC,PS,12,4,14.068510093728348,0.022707952200518834,0.0024105948015699704,0.0,14.043391546726259,1.1702826288938548,3072,256.0,0
Toy2,3,oracle_current,true_current_dynamics,CEM-MPC oracle,12,4,16.400635370289493,0.19731375249817892,0.24886436386065014,0.0,15.954457253930666,1.3295381044942223,3072,256.0,0
