environment,baseline,calibration,planner,n_seeds,horizon,cold_start_transitions,mean_total_task_reward,stderr_total_task_reward,mean_total_energy_cost,stderr_total_energy_cost,mean_total_switching_cost,stderr_total_switching_cost,mean_total_failure_cost,stderr_total_failure_cost,mean_total_net_reward,stderr_total_net_reward,mean_mean_net_reward_per_step,stderr_mean_net_reward_per_step,mean_planner_queries_total,stderr_planner_queries_total,mean_mean_planner_queries_per_step,stderr_mean_planner_queries_per_step,mean_restart_count,stderr_restart_count
Toy1,ce_bbrpc,BOCPD-BRPC,CE,10,12,4,-2.729544599626329,0.04148185187361563,0.01916588345422455,0.00039190866283879183,0.08997904970619332,0.0023206503432871015,0.0,0.0,-2.8386895327867467,0.0434922606095035,-0.23655746106556225,0.0036243550507919567,3072.0,0.0,256.0,0.0,0.2,0.13333333333333333
Toy1,ce_brpc,BRPC,CE,10,12,4,-2.763221294349344,0.03966062366434528,0.01975989579405426,0.0003930249709043061,0.0951682729699809,0.0038644300130308484,0.0,0.0,-2.8781494631133793,0.040972932678839696,-0.2398457885927816,0.003414411056569976,3072.0,0.0,256.0,0.0,0.0,0.0
Toy1,oracle_current,true_current_dynamics,CEM-MPC oracle,10,12,4,-2.6363720777868593,0.04078107624011885,0.018082958092534625,0.00036546430771448467,0.0821374326667768,0.0014069726187857963,0.0,0.0,-2.736592468546171,0.04218312704545633,-0.22804937237884756,0.003515260587121362,3072.0,0.0,256.0,0.0,0.0,0.0
Toy1,oracle_future,future_regime_path_appendix_ceiling,CEM-MPC oracle,10,12,4,-0.4204991325471917,0.014089276349994743,0.013826126518225165,0.00045946036563711257,0.0582252951781026,0.00375550465219695,0.0,0.0,-0.4925505542435194,0.01573455386460343,-0.04104587952029329,0.0013112128220502854,3072.0,0.0,256.0,0.0,0.0,0.0
Toy1,ps_bbrpc,BOCPD-BRPC,PS,10,12,4,-3.0125739681687467,0.07737807264961435,0.02335249694676074,0.0009298399224231991,0.11745048889037217,0.008369493172788244,0.0,0.0,-3.1533769540058794,0.07815445474164467,-0.26278141283382334,0.006512871228470389,3072.0,0.0,256.0,0.0,0.1,0.09999999999999999
Toy1,ps_brpc,BRPC,PS,10,12,4,-2.709986044849525,0.09823084168389695,0.021128902869249976,0.001291555061020246,0.11282062693801946,0.010413794345373232,0.0,0.0,-2.8439355746567943,0.10283099465850987,-0.23699463122139952,0.008569249554875822,3072.0,0.0,256.0,0.0,0.0,0.0
Toy2,ce_bbrpc,BOCPD-BRPC,CE,10,12,4,14.379649896228974,0.0723092054245447,0.024088340373485208,0.0003229924541157015,0.006350657172031138,0.0011212077558643808,0.0,0.0,14.349210898683456,0.07329829018222064,1.1957675748902878,0.006108190848518377,3072.0,0.0,256.0,0.0,0.0,0.0
Toy2,ce_brpc,BRPC,CE,10,12,4,14.318233703584667,0.08327998586837904,0.024255190147936468,0.00043876344799139284,0.007210509384347216,0.001614582289043486,0.0,0.0,14.286768004052385,0.08461619354749976,1.1905640003376985,0.007051349462291649,3072.0,0.0,256.0,0.0,0.0,0.0
Toy2,oracle_current,true_current_dynamics,CEM-MPC oracle,10,12,4,16.023009275898367,0.15987829482994506,0.17576730726604312,0.007083279143153774,0.25319000091271304,0.021789116865105252,0.0,0.0,15.594051967719613,0.14284944669935046,1.2995043306433014,0.011904120558279196,3072.0,0.0,256.0,0.0,0.0,0.0
Toy2,oracle_future,future_regime_path_appendix_ceiling,CEM-MPC oracle,10,12,4,16.03228679036131,0.15365445940283462,0.1836201815260759,0.008974900975037595,0.22689021993504518,0.020576920913905335,0.0,0.0,15.62177638890019,0.1300552108536456,1.3018146990750157,0.010837934237803808,3072.0,0.0,256.0,0.0,0.0,0.0
Toy2,ps_bbrpc,BOCPD-BRPC,PS,10,12,4,13.72503870794883,0.22144057966843628,0.05713177928761646,0.015518300622826256,0.27584966521735116,0.08850358187430137,0.0,0.0,13.392057263443863,0.30270670728385013,1.1160047719536554,0.02522555894032084,3072.0,0.0,256.0,0.0,0.1,0.09999999999999999
Toy2,ps_brpc,BRPC,PS,10,12,4,14.090474938532722,0.17630684650458558,0.0314815871519634,0.006114899267722834,0.07588538299650673,0.059435258559122225,0.0,0.0,13.983107968384251,0.2203103520149104,1.1652589973653544,0.018359196001242535,3072.0,0.0,256.0,0.0,0.0,0.0
