environment,state,action,previous_action,theta_old,theta_new,expected_next_old,expected_next_new,expected_reward_old,expected_reward_new,parameter_sensitivity,fisher_proxy,variance_reduction_proxy,predictive_kl_old_new,switching_cost
toy1,-1.0,-1.0,0.0,0.85,1.25,-1.9571222064060654,-2.3571222064060655,-1.25,-1.25,1.0,1111.111111111111,1111.111111111111,88.88888888888884,0.2
toy1,-1.0,-0.98,0.0,0.85,1.25,-1.9359342064060654,-2.3359342064060655,-1.2401,-1.2401,1.0,1111.111111111111,1111.111111111111,88.88888888888884,0.19208
toy1,-1.0,-0.96,0.0,0.85,1.25,-1.9147702064060654,-2.3147702064060653,-1.2304,-1.2304,1.0,1111.111111111111,1111.111111111111,88.88888888888884,0.18432
toy1,-1.0,-0.94,0.0,0.85,1.25,-1.8936302064060655,-2.2936302064060654,-1.2208999999999999,-1.2208999999999999,1.0,1111.111111111111,1111.111111111111,88.88888888888884,0.17672
toy1,-1.0,-0.92,0.0,0.85,1.25,-1.8725142064060654,-2.2725142064060653,-1.2116,-1.2116,1.0,1111.111111111111,1111.111111111111,88.88888888888884,0.16928
toy1,-1.0,-0.9,0.0,0.85,1.25,-1.8514222064060655,-2.2514222064060654,-1.2025000000000001,-1.2025000000000001,1.0,1111.111111111111,1111.111111111111,88.88888888888884,0.16200000000000003
toy1,-1.0,-0.88,0.0,0.85,1.25,-1.8303542064060654,-2.2303542064060653,-1.1936,-1.1936,1.0,1111.111111111111,1111.111111111111,88.88888888888884,0.15488000000000002
toy1,-1.0,-0.86,0.0,0.85,1.25,-1.8093102064060653,-2.209310206406065,-1.1849,-1.1849,1.0,1111.111111111111,1111.111111111111,88.88888888888884,0.14792
toy1,-1.0,-0.84,0.0,0.85,1.25,-1.7882902064060653,-2.1882902064060654,-1.1764,-1.1764,1.0,1111.111111111111,1111.111111111111,88.88888888888884,0.14112
toy1,-1.0,-0.8200000000000001,0.0,0.85,1.25,-1.7672942064060653,-2.1672942064060656,-1.1681,-1.1681,1.0,1111.111111111111,1111.111111111111,88.88888888888904,0.13448000000000002
toy1,-1.0,-0.8,0.0,0.85,1.25,-1.7463222064060653,-2.146322206406065,-1.1600000000000001,-1.1600000000000001,1.0,1111.111111111111,1111.111111111111,88.88888888888884,0.12800000000000003
toy1,-1.0,-0.78,0.0,0.85,1.25,-1.7253742064060653,-2.1253742064060654,-1.1521000000000001,-1.1521000000000001,1.0,1111.111111111111,1111.111111111111,88.88888888888904,0.12168000000000001
toy1,-1.0,-0.76,0.0,0.85,1.25,-1.7044502064060651,-2.104450206406065,-1.1444,-1.1444,1.0,1111.111111111111,1111.111111111111,88.88888888888884,0.11552000000000001
toy1,-1.0,-0.74,0.0,0.85,1.25,-1.6835502064060652,-2.0835502064060654,-1.1369,-1.1369,1.0,1111.111111111111,1111.111111111111,88.88888888888896,0.10952
toy1,-1.0,-0.72,0.0,0.85,1.25,-1.6626742064060651,-2.0626742064060655,-1.1296,-1.1296,1.0,1111.111111111111,1111.111111111111,88.88888888888896,0.10368
toy1,-1.0,-0.7,0.0,0.85,1.25,-1.6418222064060652,-2.0418222064060654,-1.1225,-1.1225,1.0,1111.111111111111,1111.111111111111,88.88888888888896,0.09799999999999999
toy1,-1.0,-0.6799999999999999,0.0,0.85,1.25,-1.6209942064060652,-2.020994206406065,-1.1156,-1.1156,1.0,1111.111111111111,1111.111111111111,88.88888888888896,0.09247999999999999
toy1,-1.0,-0.6599999999999999,0.0,0.85,1.25,-1.6001902064060651,-2.0001902064060655,-1.1088999999999998,-1.1088999999999998,1.0,1111.111111111111,1111.111111111111,88.88888888888896,0.08711999999999998
toy1,-1.0,-0.64,0.0,0.85,1.25,-1.5794102064060653,-1.9794102064060655,-1.1024,-1.1024,1.0,1111.111111111111,1111.111111111111,88.88888888888896,0.08192
toy1,-1.0,-0.62,0.0,0.85,1.25,-1.5586542064060653,-1.9586542064060655,-1.0961,-1.0961,1.0,1111.111111111111,1111.111111111111,88.88888888888896,0.07688
toy1,-1.0,-0.6,0.0,0.85,1.25,-1.5379222064060654,-1.9379222064060655,-1.09,-1.09,1.0,1111.111111111111,1111.111111111111,88.88888888888896,0.072
toy1,-1.0,-0.5800000000000001,0.0,0.85,1.25,-1.5172142064060656,-1.9172142064060655,-1.0841,-1.0841,1.0,1111.111111111111,1111.111111111111,88.88888888888884,0.06728000000000002
