environment,twin_gap,regime,seed,baseline,regime_config_kind,regime_sigma,regime_rho,regime_change_points,regime_variation_label,theta_path_min,theta_path_max,theta_path_range,theta_path_std,theta_path_n_unique,theta_path_n_changes,theta_path_first_change_step,theta_path_last_change_step,theta_path_values,total_cost,net_reward,task_cost,acc_task_reward,energy_cost,acc_energy_cost,switch_cost,nonsmooth_switch_cost,acc_switch_cost,failure_cost,acc_failure_cost,terminal_cost,violation_steps,failures,failure_events,mean_abs_action,frac_zero_action,action_changes,physical_transitions,observed_transitions,n_initial_calibration,initial_calibration_policy,observation_interval,oracle_regret
cartpole,no_gap,static,0,kh_dual_control,static,0.005,0.995,200;400,static,1.0,1.0,0.0,0.0,1,0,-1,-1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1.4272195373833847,-1.4272195373833847,1.3818310827484135,-1.3818310827484135,0.00013082263480444905,0.00013082263480444905,0.000735617197090839,0.0,0.000735617197090839,0.0,0.0,0.04452201480307589,0,0,0,0.03816063063906818,0.0,50,50,50,20,small_random,1,0.7599263970436111
cartpole,no_gap,static,0,arcari_dual_smpc,static,0.005,0.995,200;400,static,1.0,1.0,0.0,0.0,1,0,-1,-1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,0.6305598984475187,-0.6305598984475187,0.5482958933224166,-0.5482958933224166,0.000995677403653297,0.000995677403653297,0.010368177574459557,0.0,0.010368177574459557,0.0,0.0,0.07090015014698904,0,0,0,0.05607995971270104,0.0,50,50,50,20,small_random,1,-0.03673324189225491
cartpole,no_gap,static,0,tv_gp_lcb,static,0.005,0.995,200;400,static,1.0,1.0,0.0,0.0,1,0,-1,-1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,16.970709677203043,-16.970709677203043,11.332070136833257,-11.332070136833257,0.03333333333333333,0.03333333333333333,0.6811111111111112,0.0,0.6811111111111112,0.0,0.0,4.924195095925341,0,0,0,0.72,0.14,41,50,50,20,small_random,1,16.30341653686327
cartpole,no_gap,static,0,oracle_trend,static,0.005,0.995,200;400,static,1.0,1.0,0.0,0.0,1,0,-1,-1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,0.6672931403397736,-0.6672931403397736,0.5841105947055433,-0.5841105947055433,0.0014444444444444442,0.0014444444444444442,0.017777777777777774,0.0,0.017777777777777774,0.0,0.0,0.06396032341200798,0,0,0,0.06,0.86,10,50,50,0,small_random,1,0.0
cartpole,no_gap,static,1,kh_dual_control,static,0.005,0.995,200;400,static,1.0,1.0,0.0,0.0,1,0,-1,-1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1.0366158526906035,-1.0366158526906035,0.8929505264523891,-0.8929505264523891,0.0001590235906722817,0.0001590235906722817,0.001531355318970523,0.0,0.001531355318970523,0.0,0.0,0.14197494732857185,0,0,0,0.04060055874622877,0.0,50,50,50,20,small_random,1,0.1050752109906794
cartpole,no_gap,static,1,arcari_dual_smpc,static,0.005,0.995,200;400,static,1.0,1.0,0.0,0.0,1,0,-1,-1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,0.9346785793090407,-0.9346785793090407,0.7039624091663971,-0.7039624091663971,0.0009743595541805367,0.0009743595541805367,0.010637343168113962,0.0,0.010637343168113962,0.0,0.0,0.2191044674203494,0,0,0,0.056884675797498216,0.0,50,50,50,20,small_random,1,0.0031379376091166256
cartpole,no_gap,static,1,tv_gp_lcb,static,0.005,0.995,200;400,static,1.0,1.0,0.0,0.0,1,0,-1,-1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,329.6151807464573,-329.6151807464573,22.097946548394887,-22.097946548394887,0.036444444444444446,0.036444444444444446,0.7433333333333334,0.0,0.7433333333333334,300.0,300.0,6.737456420284621,3,3,1,0.7733333333333334,0.12,39,50,50,20,small_random,1,328.6836401047574
cartpole,no_gap,static,1,oracle_trend,static,0.005,0.995,200;400,static,1.0,1.0,0.0,0.0,1,0,-1,-1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,0.9315406416999241,-0.9315406416999241,0.7046639930248928,-0.7046639930248928,0.001222222222222222,0.001222222222222222,0.013333333333333332,0.0,0.013333333333333332,0.0,0.0,0.21232109311947547,0,0,0,0.04666666666666666,0.9,6,50,50,0,small_random,1,0.0
cartpole,no_gap,piecewise,0,kh_dual_control,fixed_jumps,0.005,0.995,17;33,piecewise,0.65,1.25,0.6,0.2443788043182141,3,2,17,33,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25,1.4799322364472596,-1.4799322364472596,1.4429325105532382,-1.4429325105532382,0.00016879890391819936,0.00016879890391819936,0.000956405155359153,0.0,0.000956405155359153,0.0,0.0,0.03587452183474306,0,0,0,0.04566882471893738,0.0,50,50,50,20,small_random,1,0.8231495832325558
cartpole,no_gap,piecewise,0,arcari_dual_smpc,fixed_jumps,0.005,0.995,17;33,piecewise,0.65,1.25,0.6,0.2443788043182141,3,2,17,33,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25,0.6310792330366604,-0.6310792330366604,0.5490034233550839,-0.5490034233550839,0.001007943552721591,0.001007943552721591,0.01056175563889062,0.0,0.01056175563889062,0.0,0.0,0.07050611048996414,0,0,0,0.05623221725124447,0.0,50,50,50,20,small_random,1,-0.02570342017804339
