environment,twin_gap,regime,baseline,mean_total_cost,stderr_total_cost,mean_net_reward,mean_oracle_regret,mean_task_cost,mean_energy_cost,mean_switch_cost,mean_failure_cost,mean_terminal_cost,mean_violation_steps,mean_failures,mean_failure_events,max_failure_events,mean_abs_action,mean_frac_zero_action,mean_action_changes,mean_theta_path_range,min_theta_path_n_changes,min_theta_path_first_change_step,n
cartpole,gap,drifting,arcari_dual_smpc,1.0324957138707196,0.08509205111872341,-1.0324957138707196,-0.015346614638993672,0.7600193707232349,0.0019229759349443489,0.014195355040951443,0.0,0.25635801217158904,0.0,0.0,0.0,0,0.09293007116662441,0.0,50.0,0.16728074140612598,49,1,2
cartpole,gap,drifting,kh_dual_control,1.4146621675834163,0.25908502473433936,-1.4146621675834163,0.36681983907370297,1.309243544374369,0.0005154141480437041,0.0067951847308651905,0.0,0.09810802433013838,0.0,0.0,0.0,0,0.07292231012345494,0.0,50.0,0.16728074140612598,49,1,2
cartpole,gap,drifting,oracle_trend,1.0478423285097134,0.10902781367731984,-1.0478423285097134,0.0,0.7637883708226504,0.002611111111111111,0.025555555555555554,0.0,0.25588729102039626,0.0,0.0,0.0,0,0.09,0.81,10.5,0.16728074140612598,49,1,2
cartpole,gap,drifting,tv_gp_lcb,1349.4835795810225,1345.2344399742865,-1349.4835795810225,1348.4357372525128,44.76531154961882,0.03822222222222223,0.81,1300.0,3.8700458091814887,13.0,13.0,0.5,1,0.7933333333333332,0.13,38.0,0.16728074140612598,49,1,2
cartpole,gap,piecewise,arcari_dual_smpc,0.8362945953497466,0.16957165755401546,-0.8362945953497466,-0.019771643214925583,0.658784130062472,0.00199210194251435,0.015416568064469465,0.0,0.1601017952802906,0.0,0.0,0.0,0,0.09684880159214687,0.0,50.0,0.6,2,17,2
cartpole,gap,piecewise,kh_dual_control,12.948610955688144,11.938426276396067,-12.948610955688144,12.092544717123472,10.289155533593759,0.0030360505762507583,0.0429081602536034,0.0,2.6135112112645364,0.0,0.0,0.0,0,0.15892603984196285,0.0,49.5,0.6,2,17,2
cartpole,gap,piecewise,oracle_trend,0.8560662385646722,0.14774737811738684,-0.8560662385646722,0.0,0.6682704789572955,0.0028888888888888888,0.028888888888888888,0.0,0.15601798182959875,0.0,0.0,0.0,0,0.10666666666666666,0.76,13.5,0.6,2,17,2
cartpole,gap,piecewise,tv_gp_lcb,1981.7787414155564,102.39764548494894,-1981.7787414155564,1980.9226751769916,73.47130187148386,0.035944444444444446,0.6322222222222224,1900.0,7.639272877406136,19.0,19.0,1.0,1,0.7766666666666666,0.06,38.5,0.6,2,17,2
cartpole,gap,static,arcari_dual_smpc,0.8359415416604498,0.1698197890075007,-0.8359415416604498,-0.02101559775126316,0.6583175700053163,0.0019413533203502596,0.014953534599285506,0.0,0.16072908373549807,0.0,0.0,0.0,0,0.09309040818851186,0.0,50.0,0.0,0,-1,2
cartpole,gap,static,kh_dual_control,2.6010725224103384,1.5499420179048928,-2.6010725224103384,1.7441153829986256,2.38562857855294,0.001087663923150308,0.019891051682297753,0.0,0.19446522825195117,0.0,0.0,0.0,0,0.08238990288817376,0.0,50.0,0.0,0,-1,2
cartpole,gap,static,oracle_trend,0.8569571394117129,0.14685647727034612,-0.8569571394117129,0.0,0.6664597499385883,0.0030555555555555553,0.029999999999999995,0.0,0.15744183391756886,0.0,0.0,0.0,0,0.11666666666666665,0.73,14.5,0.0,0,-1,2
cartpole,gap,static,tv_gp_lcb,2187.8940595679123,207.14022118225225,-2187.8940595679123,2187.0371024285005,79.46716330653969,0.036611111111111115,0.7222222222222222,2100.0,7.668062928039575,21.0,21.0,1.0,1,0.7899999999999999,0.07,36.0,0.0,0,-1,2
cartpole,no_gap,drifting,arcari_dual_smpc,0.9624844837222741,0.08324789487504153,-0.9624844837222741,-0.059027967659767644,0.7132090808894953,0.000988785208824164,0.01004800277463459,0.0,0.23823861484932013,0.0,0.0,0.0,0,0.05817828044280299,0.0,50.0,0.16728074140612598,49,1,2
cartpole,no_gap,drifting,kh_dual_control,1.083289665162053,0.031486972580849315,-1.083289665162053,0.06177721378001122,0.9681216017268501,0.00020052608659519306,0.002614293944884447,0.0,0.11235324340372325,0.0,0.0,0.0,0,0.04233864460120096,0.0,50.0,0.16728074140612598,49,1,2
cartpole,no_gap,drifting,oracle_trend,1.0215124513820417,0.10973303050337367,-1.0215124513820417,0.0,0.7455244960992942,0.001611111111111111,0.022222222222222223,0.0,0.25215462194941424,0.0,0.0,0.0,0,0.06333333333333332,0.85,11.5,0.16728074140612598,49,1,2
cartpole,no_gap,drifting,tv_gp_lcb,1051.0818465595037,1031.0296998425965,-1051.0818465595037,1050.0603341081214,43.88061191626617,0.036000000000000004,0.6966666666666667,1000.0,6.468567976570741,10.0,10.0,0.5,1,0.76,0.14,39.5,0.16728074140612598,49,1,2
cartpole,no_gap,piecewise,arcari_dual_smpc,0.7828839890352922,0.15180475599863186,-0.7828839890352922,-0.011277658422021719,0.6262990367957608,0.001007158426767634,0.010866537779904827,0.0,0.1447112560328589,0.0,0.0,0.0,0,0.057161850059612565,0.0,50.0,0.6,2,17,2
cartpole,no_gap,piecewise,kh_dual_control,1.2555969690418118,0.2243352674054477,-1.2555969690418118,0.4614353215844979,1.1666195852515515,0.00019129512028130533,0.002124829641637574,0.0,0.0866612590283411,0.0,0.0,0.0,0,0.04613313901937762,0.0,50.0,0.6,2,17,2
cartpole,no_gap,piecewise,oracle_trend,0.7941616474573139,0.1373789942426102,-0.7941616474573139,0.0,0.6411424466452935,0.001333333333333333,0.014999999999999998,0.0,0.13668586747868677,0.0,0.0,0.0,0,0.05333333333333332,0.88,7.5,0.6,2,17,2
cartpole,no_gap,piecewise,tv_gp_lcb,323.7089291508715,315.4890605367427,-323.7089291508715,322.91476750341417,18.994717529191654,0.036444444444444446,0.7716666666666667,300.0,3.9061005105687316,3.0,3.0,0.5,1,0.7733333333333334,0.12000000000000001,39.5,0.6,2,17,2
cartpole,no_gap,static,arcari_dual_smpc,0.7826192388782798,0.15205934043076103,-0.7826192388782798,-0.01679765214156914,0.6261291512444068,0.0009850184789169168,0.01050276037128676,0.0,0.1450023087836692,0.0,0.0,0.0,0,0.056482317755099626,0.0,50.0,0.0,0,-1,2
cartpole,no_gap,static,kh_dual_control,1.231917695036994,0.1953018423463906,-1.231917695036994,0.43250080401714525,1.1373908046004013,0.0001449231127383654,0.001133486258030681,0.0,0.09324848106582387,0.0,0.0,0.0,0,0.03938059469264847,0.0,50.0,0.0,0,-1,2
cartpole,no_gap,static,oracle_trend,0.7994168910198489,0.13212375068007526,-0.7994168910198489,0.0,0.644387293865218,0.001333333333333333,0.015555555555555553,0.0,0.13814070826574174,0.0,0.0,0.0,0,0.05333333333333333,0.88,8.0,0.0,0,-1,2
cartpole,no_gap,static,tv_gp_lcb,173.2929452118302,156.32223553462714,-173.2929452118302,172.49352832081033,16.715008342614073,0.034888888888888886,0.7122222222222223,150.0,5.8308257581049805,1.5,1.5,0.5,1,0.7466666666666667,0.13,40.0,0.0,0,-1,2
