experiment,controller,mean_total,stderr,mean_clair_gap,mean_failures,mean_observed
cartpole_jumps,ce_rw,115.20037234972163,60.078645095405804,1.105819241849245,0.0,240.0
cartpole_jumps,ce_static,114.92098260308498,59.72145944496024,0.8264294952125877,0.0,240.0
cartpole_jumps,clairvoyant,114.0945531078724,59.342742020413496,0.0,0.0,240.0
cartpole_ou,ce_rw,23.373841869113498,7.659690763099841,-0.3414734099612849,0.0,120.0
cartpole_ou,ce_static,23.37944638166152,7.652500170308931,-0.3358688974132621,0.0,120.0
cartpole_ou,clairvoyant,23.715315279074783,7.824574188378963,0.0,0.0,120.0
cartpole_sparse_m10,ce_rw,17.328746474883676,5.652084778045662,-0.22005828623622375,0.0,12.0
cartpole_sparse_m10,ce_static,17.39590786415904,5.687773868441924,-0.15289689696085879,0.0,12.0
cartpole_sparse_m10,clairvoyant,17.5488047611199,5.744579392799658,0.0,0.0,12.0
cartpole_static,ce_rw,16.775407922489876,4.178040155665646,0.1591014981961422,0.0,120.0
cartpole_static,ce_static,16.775407922489876,4.178040155665646,0.1591014981961422,0.0,120.0
cartpole_static,clairvoyant,16.616306424293732,3.970434454629831,0.0,0.0,120.0
