environment,twin_gap,regime,seed,baseline,total_cost,task_cost,energy_cost,switch_cost,failure_cost,terminal_cost,failures,physical_transitions,observed_transitions,observation_interval,oracle_regret
cartpole,no_gap,static,0,kh_dual_control,0.5881851631618771,0.5148441079295197,0.005,0.060000000000000005,0.0,0.008341055232357453,0,30,30,1,0.028320513151085303
cartpole,no_gap,static,0,arcari_dual_smpc,0.5881851631618771,0.5148441079295197,0.005,0.060000000000000005,0.0,0.008341055232357453,0,30,30,1,0.028320513151085303
cartpole,no_gap,static,0,tv_gp_lcb,843.5736115738941,36.11700098026456,0.023000000000000007,0.49,800.0,6.943610593629511,8,30,30,1,843.0137469238833
cartpole,no_gap,static,0,oracle_trend,0.5598646500107918,0.46612710960101106,0.003,0.060000000000000005,0.0,0.030737540409780703,0,30,30,1,0.0
cartpole,no_gap,static,1,kh_dual_control,0.6534488495613521,0.5132883672770802,0.011000000000000003,0.10999999999999999,0.0,0.019160482284271765,0,30,30,1,0.19440175068973148
cartpole,no_gap,static,1,arcari_dual_smpc,0.6534488495613521,0.5132883672770802,0.011000000000000003,0.10999999999999999,0.0,0.019160482284271765,0,30,30,1,0.19440175068973148
cartpole,no_gap,static,1,tv_gp_lcb,742.3780379988327,34.47602158004558,0.022000000000000006,0.49,700.0,7.390016418787167,7,30,30,1,741.9189908999612
cartpole,no_gap,static,1,oracle_trend,0.4590470988716206,0.3882376900496022,0.002,0.04,0.0,0.02880940882201849,0,30,30,1,0.0
cartpole,no_gap,piecewise,0,kh_dual_control,0.6610358265303663,0.5549285317303648,0.009000000000000001,0.09,0.0,0.0071072948000015,0,30,30,1,0.14839346246378216
cartpole,no_gap,piecewise,0,arcari_dual_smpc,0.6610358265303663,0.5549285317303648,0.009000000000000001,0.09,0.0,0.0071072948000015,0,30,30,1,0.14839346246378216
cartpole,no_gap,piecewise,0,tv_gp_lcb,740.8343507340538,33.37402839409473,0.022000000000000006,0.44999999999999996,700.0,6.9883223399591605,7,30,30,1,740.3217083699873
cartpole,no_gap,piecewise,0,oracle_trend,0.5126423640665841,0.4621813145648243,0.002,0.04,0.0,0.00846104950175981,0,30,30,1,0.0
cartpole,no_gap,piecewise,1,kh_dual_control,0.585359909686787,0.46573930387776524,0.004,0.05,0.0,0.06562060580902176,0,30,30,1,0.0034212258476409296
cartpole,no_gap,piecewise,1,arcari_dual_smpc,0.585359909686787,0.46573930387776524,0.004,0.05,0.0,0.06562060580902176,0,30,30,1,0.0034212258476409296
cartpole,no_gap,piecewise,1,tv_gp_lcb,638.480963788962,30.830171166502723,0.022000000000000006,0.44999999999999996,600.0,7.178792622459203,6,30,30,1,637.8990251051229
cartpole,no_gap,piecewise,1,oracle_trend,0.581938683839146,0.47264221571057813,0.004,0.060000000000000005,0.0,0.04529646812856804,0,30,30,1,0.0
cartpole,no_gap,drifting,0,kh_dual_control,0.6389260167415258,0.5239446837585663,0.009000000000000001,0.09999999999999999,0.0,0.005981332982959561,0,30,30,1,0.09257101510400179
cartpole,no_gap,drifting,0,arcari_dual_smpc,0.6389260167415258,0.5239446837585663,0.009000000000000001,0.09999999999999999,0.0,0.005981332982959561,0,30,30,1,0.09257101510400179
cartpole,no_gap,drifting,0,tv_gp_lcb,840.1184950137198,33.233071966250236,0.023000000000000007,0.49,800.0,6.37242304746954,8,30,30,1,839.5721400120823
cartpole,no_gap,drifting,0,oracle_trend,0.546355001637524,0.4478893751984312,0.003,0.060000000000000005,0.0,0.03546562643909281,0,30,30,1,0.0
cartpole,no_gap,drifting,1,kh_dual_control,0.6698576207443203,0.5612903573848728,0.008,0.08999999999999998,0.0,0.010567263359447495,0,30,30,1,0.1346683683617358
cartpole,no_gap,drifting,1,arcari_dual_smpc,0.6698576207443203,0.5612903573848728,0.008,0.08999999999999998,0.0,0.010567263359447495,0,30,30,1,0.1346683683617358
cartpole,no_gap,drifting,1,tv_gp_lcb,743.2205648277577,35.15959713757504,0.022000000000000006,0.49,700.0,7.5489676901826215,7,30,30,1,742.6853755753751
