environment,twin_gap,regime,baseline,mean_total_cost,stderr_total_cost,mean_oracle_regret,n
scalar,gap,drifting,arcari_dual_smpc,7.9352083502317585,0.195015021196526,-0.3283057182669369,2
scalar,gap,drifting,kh_dual_control,23.802527472441966,1.796502506002538,15.539013403943269,2
scalar,gap,drifting,oracle_trend,8.263514068498695,0.5233207394634629,0.0,2
scalar,gap,drifting,tv_gp_lcb,10092.2886510885,2174.618148206646,10084.025137020002,2
scalar,gap,piecewise,arcari_dual_smpc,6.910385071883114,1.9693902439730198,-0.09041836255520685,2
scalar,gap,piecewise,kh_dual_control,39.94851998984874,16.709574668597906,32.94771655541042,2
scalar,gap,piecewise,oracle_trend,7.000803434438321,1.084681690400227,0.0,2
scalar,gap,piecewise,tv_gp_lcb,14439.48219026405,1161.4553343456964,14432.481386829613,2
scalar,gap,static,arcari_dual_smpc,4.795691524973817,0.4648285509794192,0.0,2
scalar,gap,static,kh_dual_control,39.94851998984874,16.709574668597906,35.15282846487493,2
scalar,gap,static,oracle_trend,4.795691524973817,0.4648285509794192,0.0,2
scalar,gap,static,tv_gp_lcb,13034.615276847526,6143.241706513007,13029.819585322552,2
scalar,no_gap,drifting,arcari_dual_smpc,10.685212960774175,1.4710682455289348,0.4107438688905054,2
scalar,no_gap,drifting,kh_dual_control,25.218769987896213,0.8760485274518253,14.944300896012543,2
scalar,no_gap,drifting,oracle_trend,10.27446909188367,1.3948634703728835,0.0,2
scalar,no_gap,drifting,tv_gp_lcb,8566.451894678697,2165.3194599075987,8556.177425586815,2
scalar,no_gap,piecewise,arcari_dual_smpc,6.788448459353418,2.1845102066160322,1.0665713033226067,2
scalar,no_gap,piecewise,kh_dual_control,39.94851998984874,16.709574668597906,34.226642833817934,2
scalar,no_gap,piecewise,oracle_trend,5.7218771560308115,1.1179389032934253,0.0,2
scalar,no_gap,piecewise,tv_gp_lcb,1541.750347869366,241.2945821294313,1536.028470713335,2
scalar,no_gap,static,arcari_dual_smpc,4.912653791493411,0.7838473926717214,0.0,2
scalar,no_gap,static,kh_dual_control,39.94851998984874,16.709574668597906,35.035866198355336,2
scalar,no_gap,static,oracle_trend,4.912653791493411,0.7838473926717214,0.0,2
scalar,no_gap,static,tv_gp_lcb,2773.9284343845557,704.2386293304013,2769.015780593062,2
