environment,twin_gap,regime,seed,baseline,total_cost,state_cost,energy_cost,switch_cost,nonsmooth_switch_cost,terminal_cost,physical_transitions,observed_transitions,observation_interval,oracle_regret
scalar,no_gap,static,0,kh_dual_control,23.238945321250835,23.215682320319065,0.0,0.0,0.0,0.023263000931763582,30,3,10,17.542444137085702
scalar,no_gap,static,0,arcari_dual_smpc,23.238945321250835,23.215682320319065,0.0,0.0,0.0,0.023263000931763582,30,3,10,17.542444137085702
scalar,no_gap,static,0,tv_gp_lcb,11976.706124482378,10773.725638630603,23.23125,0.0,0.0,1179.749235851778,30,3,10,11971.009623298212
scalar,no_gap,static,0,oracle_trend,5.6965011841651325,5.560738183233369,0.11250000000000002,0.0,0.0,0.023263000931763547,30,3,10,0.0
scalar,no_gap,static,1,kh_dual_control,56.65809465844665,56.51904884410469,0.0,0.0,0.0,0.13904581434195915,30,3,10,52.52928825962496
scalar,no_gap,static,1,arcari_dual_smpc,56.65809465844665,56.51904884410469,0.0,0.0,0.0,0.13904581434195915,30,3,10,52.52928825962496
scalar,no_gap,static,1,tv_gp_lcb,12894.19430419556,11756.707119070676,23.73749999999999,0.0,0.0,1113.7496851248836,30,3,10,12890.065497796739
scalar,no_gap,static,1,oracle_trend,4.128806398821689,3.87726058447973,0.11250000000000002,0.0,0.0,0.13904581434195923,30,3,10,0.0
scalar,no_gap,piecewise,0,kh_dual_control,23.238945321250835,23.215682320319065,0.0,0.0,0.0,0.023263000931763582,30,3,10,15.50591636578617
scalar,no_gap,piecewise,0,arcari_dual_smpc,23.238945321250835,23.215682320319065,0.0,0.0,0.0,0.023263000931763582,30,3,10,15.50591636578617
scalar,no_gap,piecewise,0,tv_gp_lcb,6030.87085976615,5643.708196656921,24.356249999999996,0.0,0.0,362.8064131092285,30,3,10,6023.137830810685
scalar,no_gap,piecewise,0,oracle_trend,7.733028955464664,7.542529234090759,0.16875,0.0,0.0,0.021749721373904383,30,3,10,0.0
scalar,no_gap,piecewise,1,kh_dual_control,56.65809465844665,56.51904884410469,0.0,0.0,0.0,0.13904581434195915,30,3,10,52.054156405709264
scalar,no_gap,piecewise,1,arcari_dual_smpc,56.65809465844665,56.51904884410469,0.0,0.0,0.0,0.13904581434195915,30,3,10,52.054156405709264
scalar,no_gap,piecewise,1,tv_gp_lcb,9871.865920041748,9389.134308302519,25.93124999999999,0.0,0.0,456.8003617392319,30,3,10,9867.26198178901
scalar,no_gap,piecewise,1,oracle_trend,4.603938252737386,4.218025896074783,0.11250000000000002,0.0,0.0,0.2734123566626028,30,3,10,0.0
scalar,no_gap,drifting,0,kh_dual_control,38.2252679483728,37.72127944311781,0.28125000000000006,0.0,0.0,0.2227385052549961,30,3,10,27.905029003289044
scalar,no_gap,drifting,0,arcari_dual_smpc,38.2252679483728,37.72127944311781,0.28125000000000006,0.0,0.0,0.2227385052549961,30,3,10,27.905029003289044
scalar,no_gap,drifting,0,tv_gp_lcb,14233.864216709144,13357.230015910458,22.10625,0.0,0.0,854.5279507986847,30,3,10,14223.54397776406
